name  state  reads_raw  reads_passed_filter  refseq_mapped_reads  refseq_unmapped_reads  clusters_total  clusters_hidepth  hetero_est  error_est  reads_consens  loci_in_assembly
P2_E12_BEL_LBE_SP          7    1841426              1840539               384901                1455638           18883              7921    0.004030   0.000848           7545              5089
P2_F01_RUM_S2_SP           7     484996               484886                97158                 387728           11361              4796    0.004252   0.000900           4579              3746
P2_F02_RUM_S3_SP           7    2204445              2202236               464306                1737930           22417             11461    0.004624   0.000785          10748              5494
P2_F03_RUM_S3_SP           7    2352548              2351565               319241                2032324           18844              7393    0.004618   0.000827           6988              4978
P2_F04_RUM_S3_SP           7    1903842              1902994               401569                1501425           21593              9852    0.004037   0.000786           9333              5467
P2_F05_RUM_S2_SP           7    3355234              3353792               709140                2644652           22375             10781    0.004053   0.000731          10177              5646
P2_F06_ROW_S1_SP           7    5163217              5160356              1126844                4033512           23386             12092    0.003924   0.000688          11425              5790
P2_F07_ROW_S1_SP           7    4536308              4535496               954752                3580744           26128             14145    0.003769   0.000779          13509              6150
P2_F08_ROW_S1_SP           7    1489018              1488640               316100                1172540           18251              7155    0.004243   0.000770           6786              5076
P2_F09_ROW_S1B_SP          7    2037253              2036455               437093                1599362           22153              9431    0.004693   0.000779           8842              5523
P2_F10_ROW_S1B_SP          7    1574726              1574059               331198                1242861           20071              8305    0.004320   0.000835           7822              5303
P2_F11_BEL_LBE_SP          7    2661728              2661248               548051                2113197           17217              7203    0.003681   0.000736           6889              5020
P2_F12_BEL_LBE_SP          7    3902374              3900515               748944                3151571           23740             11152    0.004592   0.000760          10467              5697
P2_G01_RUM_S2_SP           7    2967354              2966745               628306                2338439           19265              7974    0.004060   0.000739           7612              5368
P2_G02_RUM_S3_SP           7    4697365              4694692              1007295                3687397           25239             12587    0.003949   0.000712          11848              5955
P2_G03_RUM_S3_SP           7     614585               614384                66865                 547519            8125              3506    0.002725   0.000785           3403              2708
P2_G04_RUM_S3_SP           7    2302861              2300148               476317                1823831           22097             11517    0.004543   0.000845          10837              5470
P2_G05_RUM_S2_SP           7    5680633              5678938              1228622                4450316           24186             12158    0.004135   0.000726          11466              5807
P2_G08_ROW_S1_SP           7    2338205              2336536               484481                1852055           24909             12518    0.004827   0.000843          11711              5821
P2_G09_ROW_S1B_SP          7     316991               316768                64055                 252713           10998              3336    0.003399   0.000881           3204              2502
P2_G10_ROW_S1B_SP          7    3580117              3578593               745386                2833207           26117             12749    0.004349   0.000759          11979              6114
P2_G11_BEL_LBE_SP          7    3455073              3454089               742465                2711624           24030             10395    0.004544   0.000757           9786              5849
P2_G12_BEL_LBE_SP          7    7269682              7266942              1535554                5731388           27220             14929    0.004188   0.000689          14101              6203
P2_H01_RUM_S2_SP           7     280525               280484                51949                 228535            7913              3147    0.003556   0.000888           3013              2466
P2_H02_RUM_S3_SP           7    1323772              1323322               278647                1044675           16212              6631    0.003833   0.000779           6336              4822
P2_H03_RUM_S3_SP           7     760002               759809               155145                 604664           14664              5815    0.004120   0.000817           5530              4409
P2_H05_RUM_S2_SP           7    4690650              4689123               943443                3745680           21806              9988    0.004394   0.000710           9383              5448
P2_H07_ROW_S1_SP           7    2519033              2518464               544003                1974461           22161              9766    0.004306   0.000789           9231              5693
P2_H09_ROW_S1B_SP          7    1214990              1214535               250558                 963977           15600              6154    0.003833   0.000721           5904              4623
P2_H10_ROW_S1B_SP          7    3315981              3314905               685671                2629234           22185              8920    0.004285   0.000762           8414              5632
P2_H11_BEL_LBE_SP          7    1045483              1045298               162884                 882414           11201              5538    0.003299   0.000775           5348              4131
P4_A01_RUM_S1_SP           7     728901               728640               157268                 571372           15231              5640    0.004064   0.000844           5371              4338
P4_A02_RUM_S1_SP           7    6199425              6198112              1316357                4881755           25478             11473    0.004938   0.000651          10816              6035
P4_A03_RUM_S1_SP           7    3151387              3150550               657598                2492952           22168              9696    0.004118   0.000756           9219              5767
P4_A04_BEL_ROS_SP          7    2277916              2277341               479087                1798254           22183              8794    0.004800   0.000946           8272              5536
P4_A05_BEL_ROS_SP          7    2108326              2105927               445466                1660461           23172             12469    0.004267   0.000753          11694              5652
P4_A06_BEL_ROS_SP          7    7358295              7356367              1606996                5749371           28479             13809    0.004518   0.000672          12933              6190
P4_A07_ROW_S2_SP           7    1688572              1688075               352364                1335711           17662              8594    0.003583   0.000796           8265              5326
P4_A08_ROW_S2_SP           7    3254752              3253980               700063                2553917           22422              9300    0.004573   0.000765           8749              5680
P4_A09_BEL_LBE_SP          7    2185599              2184865               448581                1736284           15616              6545    0.003404   0.000741           6306              4612
P4_A10_BEL_LBE_SP          7    1349829              1349309               282964                1066345           18131              7283    0.004156   0.000801           6895              4792
P4_A11_BEL_KEY_SP          7    1390674              1390303               288022                1102281           18369              7348    0.004425   0.000847           6951              5075
P4_A12_BEL_KEY_SP          7    1691069              1690081               348174                1341907           19014              7391    0.004556   0.000756           6986              5102
P4_B01_RUM_S1_SP           7    4038173              4036967               871589                3165378           24352             10427    0.004709   0.000751           9804              5740
P4_B02_RUM_S1_SP           7    5967952              5966334              1301984                4664350           26067             11645    0.004695   0.000717          10858              5990
P4_B03_RUM_S1_SP           7    2022034              2021475               438047                1583428           20147              7958    0.004310   0.000773           7493              5316
P4_B04_BEL_ROS_SP          7    3520079              3519252               752802                2766450           24160             11012    0.004457   0.000759          10418              6000
P4_B05_BEL_ROS_SP          7    6977166              6973287              1444154                5529133           27917             16952    0.003850   0.000668          16120              6225
P4_B07_ROW_S2_SP           7    3596460              3595013               783724                2811289           25664             13154    0.004216   0.000742          12390              6065
P4_B08_ROW_S2_SP           7    2312328              2311813               494488                1817325           21121              8567    0.004582   0.000776           8079              5494
P4_B09_BEL_LBE_SP          7    2362413              2361937               498982                1862955           15039              6702    0.003343   0.000713           6466              4814
P4_B10_BEL_LBE_SP          7    4483991              4482718               931874                3550844           22966             10749    0.004318   0.000727          10168              5722
P4_B11_BEL_KEY_SP          7    1849399              1849042               389977                1459065           19322              9913    0.004147   0.000835           9442              5606
P4_B12_BEL_KEY_SP          7    2535815              2534787               521609                2013178           21833              9263    0.004835   0.000779           8652              5526
P4_C01_RUM_S1_SP           7    4626954              4626160               981403                3644757           23711             10645    0.003921   0.000717          10117              5980
P4_C02_RUM_S1_SP           7    6744681              6742688              1440602                5302086           26653             12581    0.006312   0.000625          11787              6077
P4_C03_RUM_S1_SP           7    1695824              1695365               359628                1335737           18371              7608    0.004077   0.000793           7234              5190
P4_C04_BEL_ROS_SP          7    2241651              2241258               478218                1763040           21432              8667    0.004420   0.000856           8214              5513
P4_C05_BEL_ROS_SP          7    4307904              4306551               882591                3423960           21894             10027    0.003922   0.000727           9514              5697
P4_C06_ROW_S2_SP           7    3730298              3729606               841835                2887771           22720              9867    0.004228   0.000710           9333              5758
P4_C07_ROW_S2_SP           7    2993060              2992156               627193                2364963           23129             11219    0.004138   0.000777          10649              5893
P4_C08_ROW_S2_SP           7    1754579              1754227               366307                1387920           17069              6958    0.004006   0.000773           6629              4989
P4_C09_BEL_LBE_SP          7    3249765              3249187               677114                2572073           17149              8267    0.003324   0.000700           7984              5375
P4_C10_BEL_KEY_SP          7    1970148              1968773               410938                1557835           20803              9167    0.003959   0.000788           8694              5160
P4_C11_BEL_KEY_SP          7    2223939              2223225               461714                1761511           23020              9853    0.004827   0.000846           9258              5710
